publish_time,song_time,artist,artist_id,music_name,music_id,album,pic_url,album_id,no,crawl_time,music_url,music_down_url,update_time
2020-09-28,4:39,颜人中,31376161,夏夜最后的烟火,1482867143,夏夜最后的烟火,http://p2.music.126.net/i1p1CCz6PaDF2Gs0RqKJBQ==/109951165349625690.jpg,96058206,1,2024-11-20 10:51:55,https://music.163.com/song?id=1482867143,Unknown,2024-11-20
Unknown,4:49,颜人中,31376161,晚安,1359356908,晚安,http://p2.music.126.net/8N1fsMRm2L5HyZccc6I3ew==/109951164007377169.jpg,78570420,1,2024-11-20 10:51:55,https://music.163.com/song?id=1359356908,Unknown,2024-11-20
2024-11-05,2:42,Sasuke,37334229,曼陀罗华,2643535318,蔓·生花,http://p2.music.126.net/qHQleWDYNl8Ev_W4CjpL2A==/109951170121509486.jpg,252889579,1,2024-11-20 10:51:55,https://music.163.com/song?id=2643535318,Unknown,2024-11-20
2004-12-31,4:03,许慧欣,9950,七月七日晴,307780,万中选一,http://p2.music.126.net/OqkcG-E55JOfRw3rl8q3Ww==/109951169280559422.jpg,30564,11,2024-11-20 10:51:55,https://music.163.com/song?id=307780,Unknown,2024-11-20
2013-05-06,3:38,陆虎,3793,拉过勾的,26387325,花吃泡面男,http://p2.music.126.net/x-r68cAnC3yefRnibe9POg==/109951163077575462.jpg,2453010,5,2024-11-20 10:51:55,https://music.163.com/song?id=26387325,Unknown,2024-11-20
2006-11-22,4:18,陈奕迅,2116,富士山下,65766,What's Going On…?,http://p2.music.126.net/jzNxBp5DCER2_aKGsXeRww==/109951167435823724.jpg,6451,5,2024-11-20 10:51:55,https://music.163.com/song?id=65766,Unknown,2024-11-20
2024-08-15,2:24,沙一汀EL,31561897,普通女孩,2617646167,敏感小孩,http://p2.music.126.net/WuECsFeBOT916fCZwEfCCQ==/109951169874834260.jpg,245144455,5,2024-11-20 10:51:55,https://music.163.com/song?id=2617646167,Unknown,2024-11-20
2016-10-20,4:10,郭顶,2843,凄美地,436346833,飞行器的执行周期,http://p2.music.126.net/wSMfGvFzOAYRU_yVIfquAA==/2946691248081599.jpg,35005583,1,2024-11-20 10:51:55,https://music.163.com/song?id=436346833,Unknown,2024-11-20
2017-07-03,3:42,队长,1143033,哪里都是你,488249475,哪里都是你,http://p2.music.126.net/lnOnBbP_H-052Hv5ls-QjA==/109951162964628408.jpg,35702116,1,2024-11-20 10:51:55,https://music.163.com/song?id=488249475,Unknown,2024-11-20
Unknown,6:43,梁博,166010,曾经是情侣 (Live),1370880017,我是唱作人 第4期,http://p2.music.126.net/GLiLYkBs9Gq7TXOkMz1g0w==/109951164137683554.jpg,79696864,3,2024-11-20 10:51:55,https://music.163.com/song?id=1370880017,Unknown,2024-11-20
2023-03-29,3:13,"邹沛沛, Pank","48345452, 36341115",沉溺 (你让我的心不再结冰）,2034187125,沉溺（你让我的心不再结冰）,http://p2.music.126.net/WhsaW6an5oI4XZN0KhQ5fA==/109951168502947956.jpg,162622803,1,2024-11-20 10:51:55,https://music.163.com/song?id=2034187125,Unknown,2024-11-20
2014-04-10,4:19,方大同,2738,特别的人,28403111,危险世界,http://p2.music.126.net/RTB72JJJapo01l4XfVDAWQ==/109951166349819975.jpg,2759704,8,2024-11-20 10:51:55,https://music.163.com/song?id=28403111,Unknown,2024-11-20
2023-07-09,3:50,就是南方凯,46360442,离别开出花,2061978961,离别开出花,http://p2.music.126.net/MgrERz_auwIi5Km64TxwjQ==/109951169154658797.jpg,169121960,1,2024-11-20 10:51:55,https://music.163.com/song?id=2061978961,Unknown,2024-11-20
Unknown,2:56,30年前，50年后,32099752,精卫,1951069525,丧失年轻，勿失年华,http://p2.music.126.net/jSH_ikeooxveWl0BTc3Xkg==/109951166786983190.jpg,137950781,1,2024-11-20 10:51:55,https://music.163.com/song?id=1951069525,Unknown,2024-11-20
2007-03-21,4:49,孙燕姿,9272,我怀念的,287063,逆光,http://p2.music.126.net/hIOFATG-3vNyYHOj31Tyew==/109951169829283327.jpg,28520,5,2024-11-20 10:51:55,https://music.163.com/song?id=287063,Unknown,2024-11-20
2021-09-24,4:25,王菲,9621,如愿,1888381008,如愿,http://p2.music.126.net/SvTfw8UsSPbt6bk-i0n3IQ==/109951166537609949.jpg,135011910,1,2024-11-20 10:51:55,https://music.163.com/song?id=1888381008,Unknown,2024-11-20
2008-10-17,3:45,林俊杰,3684,Always Online,108485,JJ陆,http://p2.music.126.net/hClw_8dZJ1fq5L3SKI_oaA==/109951168111262960.jpg,10770,7,2024-11-20 10:51:55,https://music.163.com/song?id=108485,Unknown,2024-11-20
2023-04-20,3:51,林俊杰,3684,愿与愁,2041026502,愿与愁,http://p2.music.126.net/vtnI8JpimWnZSzkXdmIB3w==/109951168558210782.jpg,164109253,1,2024-11-20 10:51:55,https://music.163.com/song?id=2041026502,Unknown,2024-11-20
2015-11-05,3:36,G.E.M.邓紫棋,7763,多远都要在一起,30612793,新的心跳,http://p2.music.126.net/kVwk6b8Qdya8oDyGDcyAVA==/1364493930777368.jpg,3189002,1,2024-11-20 10:51:55,https://music.163.com/song?id=30612793,Unknown,2024-11-20
2012-07-19,4:33,刘佳,4188,爱的就是你,1969013954,陪你走过每个春天,http://p2.music.126.net/4gaZmKGGDK0afmp_MCSkSw==/109951167739577479.jpg,149064228,13,2024-11-20 10:51:55,https://music.163.com/song?id=1969013954,Unknown,2024-11-20
2016-11-24,5:25,郭顶,2843,水星记,441491828,飞行器的执行周期,http://p2.music.126.net/wSMfGvFzOAYRU_yVIfquAA==/2946691248081599.jpg,35005583,5,2024-11-20 10:51:55,https://music.163.com/song?id=441491828,Unknown,2024-11-20
2020-01-13,3:43,陈奕迅,2116,稳稳的幸福,25730757,稳稳的幸福,http://p2.music.126.net/6F3SnAcWk-qQslrYRxhTlQ==/109951166578464485.jpg,2302128,1,2024-11-20 10:51:55,https://music.163.com/song?id=25730757,Unknown,2024-11-20
2017-05-01,4:22,盛哲,12395355,在你的身边,475479888,在你的身边,http://p2.music.126.net/AYNBdRxJ8EdZo4xFjp7b4Q==/109951163191178425.jpg,35438746,1,2024-11-20 10:51:55,https://music.163.com/song?id=475479888,Unknown,2024-11-20
2019-11-30,3:49,颜人中,31376161,有些,1406649619,失眠症候群,http://p2.music.126.net/8DkTnzi7jdjWGYl4qbwLCg==/109951164517295956.jpg,83770787,4,2024-11-20 10:51:55,https://music.163.com/song?id=1406649619,Unknown,2024-11-20
